"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-429","verb","estimated","estimated","estimated","estimated","TransitiveFrame","range","domain","1","dbo:areaCode","dbo:City","xsd:string","by","0.90179242178255","dbo:areaCode","1-gram"
"lexicalEntry-433","verb","It estimated","It estimated","It estimated","It estimated","TransitiveFrame","range","domain","1","dbo:areaCode","dbo:City","xsd:string","by","0.897467253339709","dbo:areaCode","4-gram"
"lexicalEntry-632","verb","served","served","served","served","TransitiveFrame","range","domain","1","dbo:battle","dbo:MilitaryPerson","dbo:MilitaryConflict","by","0.439815442910549","dbo:battle","1-gram"
"lexicalEntry-1284","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbo:city","dbo:River","dbo:City","by","0.473732458508201","dbo:city","onegram"
"lexicalEntry-1285","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:city","dbo:River","dbo:City","by","0.47169048049024","dbo:city","onegram"
"lexicalEntry-1290","verb","owned","owned","owned","owned","TransitiveFrame","range","domain","1","dbo:city","dbo:River","dbo:City","by","0.825941156963825","dbo:city","1-gram"
"lexicalEntry-1294","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbo:city","dbo:River","dbo:City","by","0.795210840898622","dbo:city","1-gram"
"lexicalEntry-1333","verb","closed","closed","closed","closed","TransitiveFrame","range","domain","1","dbo:closingDate","dbo:Company","xsd:date","by","0.469402794038177","dbo:closingDate","onegram"
"lexicalEntry-1334","verb","closed on","closed on","closed on","closed on","TransitiveFrame","range","domain","1","dbo:closingDate","dbo:Company","xsd:date","by","0.431787769588373","dbo:closingDate","twogram"
"lexicalEntry-1335","verb","closed","closed","closed","closed","TransitiveFrame","range","domain","1","dbo:closingDate","dbo:Company","xsd:date","by","0.420084025208403","dbo:closingDate","onegram"
"lexicalEntry-1336","verb","closed on","closed on","closed on","closed on","TransitiveFrame","range","domain","1","dbo:closingDate","dbo:Company","xsd:date","by","0.411693484796309","dbo:closingDate","exact_string"
"lexicalEntry-1340","verb","closed","closed","closed","closed","TransitiveFrame","range","domain","1","dbo:closingDate","dbo:Company","xsd:date","by","0.424437343813583","dbo:closingDate","1-gram"
"lexicalEntry-1533","verb","aired","aired","aired","aired","TransitiveFrame","range","domain","1","dbo:completionDate","dbo:Ship","xsd:date","by","0.548379344596482","dbo:completionDate","1-gram"
"lexicalEntry-1536","verb","aired on","aired on","aired on","aired on","TransitiveFrame","range","domain","1","dbo:completionDate","dbo:Ship","xsd:date","by","0.45662081196515","dbo:completionDate","2-gram"
