"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-13","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:abbreviation","owl:Thing","xsd:string","0.902754753643153","dbo:abbreviation","1-gram",
"lexicalEntry-15","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:abbreviation","owl:Thing","xsd:string","0.797790551576028","dbo:abbreviation","2-gram",
"lexicalEntry-20","verb","established","established","established","established","InTransitivePPFrame","domain","range","1","dbo:abbreviation","owl:Thing","xsd:string","0.693689240954894","dbo:abbreviation","1-gram",
"lexicalEntry-22","verb","established in","established in","established in","established in","InTransitivePPFrame","domain","range","1","dbo:abbreviation","owl:Thing","xsd:string","0.678029860830907","dbo:abbreviation","2-gram",
"lexicalEntry-76","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:activeYearsEndDate","dbo:Athlete","xsd:date","0.692135920684241","dbo:activeYearsEndDate","1-gram",
"lexicalEntry-200","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:album","dbo:Song","dbo:Album","0.780360859014006","dbo:album","1-gram",
"lexicalEntry-203","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:album","dbo:Song","dbo:Album","0.64556632489711","dbo:album","2-gram",
"lexicalEntry-529","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:associatedMusicalArtist","dbo:Band","dbo:Place","0.634493624573496","dbo:associatedMusicalArtist","1-gram",
"lexicalEntry-531","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:associatedMusicalArtist","dbo:Band","dbo:Place","0.588013141406567","dbo:associatedMusicalArtist","1-gram",
"lexicalEntry-570","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","0.763581738415331","dbo:award","1-gram",
"lexicalEntry-577","verb","played","played","played","played","InTransitivePPFrame","domain","range","1","dbo:award","dbo:Scientist","dbo:Award","0.615385495681585","dbo:award","1-gram",
"lexicalEntry-781","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.906326967174966","dbo:birthPlace","onegram",
"lexicalEntry-782","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.798197415163321","dbo:birthPlace","onegram",
"lexicalEntry-783","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.774910620685823","dbo:birthPlace","onegram",
"lexicalEntry-784","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.710818653310911","dbo:birthPlace","onegram",
"lexicalEntry-785","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.705823076440401","dbo:birthPlace","onegram",
"lexicalEntry-787","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.694808333779651","dbo:birthPlace","onegram",
"lexicalEntry-788","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.677907680683301","dbo:birthPlace","onegram",
"lexicalEntry-790","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.650468754576032","dbo:birthPlace","onegram",
"lexicalEntry-791","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.648074069840786","dbo:birthPlace","onegram",
"lexicalEntry-794","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthPlace","res:Surfing","dbo:Country","0.971238191792164","dbo:birthPlace","1-gram",
"lexicalEntry-803","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.707106781186548","dbo:birthYear","onegram",
