QALD id	match status	QALD question	QueGG question	TP	FP	FN	QALD SPARQL query	QueGG SPARQL query	TP	FP	FN	Precision	Recall	F-Measure
2	0.7407407407	How high is the lighthouse in Colombo?	should work	0	1	1	SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . }	"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Lighthouse> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Colombia> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . 

} ORDER BY DESC(?num) LIMIT 1"	0	1	1	0	0	0
6	0	In what city is the Heineken brewery?	not work	0	1	1	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }		0	1	1	0	0	0
15	0.8351648352	Who is the daughter of Robert Kennedy married to?	should work	0	11	1	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child . ?child <http://dbpedia.org/ontology/spouse> ?uri . }	"select ?o 

{

 <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?o . 

}"	0	11	1	0	0	0
16	0.8865979381	Which books by Kerouac were published by Viking Press?	"""which books were published by Viking Press?"""	4	457	25	SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . }	"select ?s 

{

 ?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . 

}"	4	457	25	0.00867679	0.13793103	0.016326532
19	0	Who wrote the book Les Piliers de la terre?	should work	0	1	1	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:The_Pillars_of_the_Earth dbo:author ?uri .
}"		0	1	1	0	0	0
25	1	Who is the mayor of Paris?	"""Who is the mayor of Paris?"" (ambiguity, leader name)"	0	1	1	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . }	"select ?o 

{

 <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName> ?o . 

}"	0	1	1	0	0	0
26	0.7835051546	Who is the coach of Ankara's ice hockey team?	"""Who is the coach of Turkish Ice Hockey First League?"""	0	1	1	SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . }	"select ?o 

{

 <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> <http://dbpedia.org/ontology/coach> ?o . 

}"	0	1	1	0	0	0
27	0.8260869565	Who is the mayor of the capital of French Polynesia?	should work	0	1	1	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 res:French_Polynesia dbo:capital ?x .
 ?x dbo:mayor ?uri .
}"	"select ?o 

{

 <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/capital> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}"	0	1	1	0	0	0
35	0.9459459459	In which country does the Ganges start?	"""in which country does Ganges start?""(ambiguity, source country)"	0	1	1	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:Ganges dbo:sourceCountry ?uri .
}"	"select ?o 

{

 <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation> ?o . 

}"	0	1	1	0	0	0
38	0.9	Where was Bach born?	"""Where was Cher born?""(to short name is used that does not match"	0	1	1	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}"	"select ?o 

{

 <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace> ?o . 

}"	0	1	1	0	0	0
