"id"	"question"	"sparql"	"answer"
"0"	"When was the Battle of Gettysburg?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}"	"[(""1863-07-03""^^xsd:date )]"
"1"	"List all the musicals with music by Elton John."	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}"	"[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]"
"2"	"How high is the lighthouse in Colombo?"	"SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } "	"[(""29.0""^^xsd:double )]"
"3"	"Who was the wife of U.S. president Lincoln?"	"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}"	"[(http://dbpedia.org/resource/Mary_Todd_Lincoln )]"
"4"	"Who is the host of the BBC Wildlife Specials?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . }"	"[(http://dbpedia.org/resource/David_Attenborough )]"
"5"	"How much did Pulp Fiction cost?"	"SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } "	"[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]"
"6"	"In what city is the Heineken brewery?"	"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }"	"[(http://dbpedia.org/resource/Amsterdam )]"
"7"	"When did Operation Overlord commence?"	"SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } "	"[(""1944-08-25""^^xsd:date )]"
"8"	"In which city does the Chile Route 68 end?"	"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } "	"[(http://dbpedia.org/resource/Valpara%C3%ADso )]"
"9"	"Who developed Slack?"	"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . }"	"[]"
"10"	"Who was married to president Chirac?"	"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}"	"[(http://dbpedia.org/resource/Bernadette_Chirac )]"
""	""	""	""	""	""	"0.0"	"0.0"	"0.0"	"NaN"	"NaN"	"NaN"
