id,QALD question,sparql,answer
0,Quando ha avuto luogo la battaglia di Gettysburg?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","[(""1863-07-03""^^xsd:date )]"
1,Elenca tutti i musicals con musiche di Elton John.,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]"
2,Quanto è alto il faro di Colombo?,SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,"[(""29.0""^^xsd:double )]"
3,Chi era la moglie del presidente degli Stati Uniti Lincoln?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}",[(http://dbpedia.org/resource/Mary_Todd_Lincoln )]
4,Chi è il presentatore degli speciali della BBC Wildlife?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },[(http://dbpedia.org/resource/David_Attenborough )]
5,Quanto è costato Pulp Fiction?,SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,"[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]"
6,In quale città si trova il birrificio della Heiniken?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },[(http://dbpedia.org/resource/Amsterdam )]
7,Quando è iniziata l'operatione Overlord?,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,"[(""1944-08-25""^^xsd:date )]"
8,In quale città termina la Route 68 in Cile?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,[(http://dbpedia.org/resource/Valpara%C3%ADso )]
9,Chi ha sviluppato Slack?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },[(http://dbpedia.org/resource/Slack_Technologies)]
10,Chi è stato sposato con il presidente Chirac?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}",[(http://dbpedia.org/resource/Bernadette_Chirac )]
11,Di cosa è morto Bruce Carver?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}",[(http://dbpedia.org/resource/Cancer )]
12,Chi dipinse il Cristo nella tempesta sul mare di Galilea?,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}",[(http://dbpedia.org/resource/Rembrandt )]
13,Attraverso quali città scorre il fiume Weser?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ,"[(http://dbpedia.org/resource/Bremen ), (http://dbpedia.org/resource/Bremerhaven ), (http://dbpedia.org/resource/Fulda_(river) ), (http://dbpedia.org/resource/Hamelin ), (http://dbpedia.org/resource/Hann._M%C3%BCnden ), (http://dbpedia.org/resource/Kassel ), (http://dbpedia.org/resource/Minden )]"
14,Quanti posti a sedere ha lo stadio del FC Porto,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,"[(""50035""^^http://www.w3.org/2001/XMLSchema#nonNegativeInteger)]"
