QALD id,match status,QALD question,QueGG question,TP,FP,FN,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
6,0,In quale città si trova il birrificio della Heiniken?,,0,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,0,0,0,0,0
14,0,Quanti posti a sedere ha lo stadio del FC Porto,,0,0,1,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,,0,0,1,0,0,0
15,0,Con chi è sposata la figlia di Robert Kennedy?,,0,0,4,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,,0,0,4,0,0,0
16,0.775510204081633,Quali libri di Kerouac furono pubblicati da Grove Press?,"""Quante libri sono pubblica da Grove Press?""",0,1,6,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Grove_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,"""select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    
{
    <http://dbpedia.org/resource/Grove_Press> <http://dbpedia.org/ontology/publisher>  ?objOfProp .    
}""",0,1,6,0,0,0
20,0,James è Bond sposato?,,0,0,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}",,0,0,1,0,0,0
23,0,Chi venne chiamato Eagles?,,0,0,0,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Bulldog'@es . 
}",,0,0,0,0,0,0
25,0.941176470588235,Chi è il sindaco di Parigi?,"""Chi è sindaco di Parigi?""",0,0,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"""select  ?o    
{
    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName>  ?o .    
}""",0,0,1,0,0,0
26,0,Chi è l'allenatore della squadra di hockey di Ankara?,,0,0,1,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },,0,0,1,0,0,0
27,0.731182795698925,Chi è il sindaco della capitale della Polinesia Francese?,"""Chi sono capi di Polinesia francese?""",0,0,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:Russia dbo:capital ?x .
        ?x dbo:leaderName ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/leader>  ?o .    
}""",0,0,1,0,0,0
31,0,Il principe Harry e il principe William hanno gli stessi genitoris?,,0,0,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",,0,0,1,0,0,0
