QALD id,match status,QALD question,QueGG question,TP,FP,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
0,0,¿Cuándo tuvo lugar la batalla de Gettysburg?,should work,0,0,PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?date  WHERE {res:Battle_of_Gettysburg dbp:date ?date .},,0,0,2,0,0,0
4,0,¿Quién es el anfitrión de los especiales de la American Idol?,should work,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/American_Idol> <http://dbpedia.org/ontology/presenter> ?uri . },,0,0,2,0,0,0
5,0.716981132075472,¿Cuanto costo Pulp Fiction?,"""¿Qué actuado Pulp Fiction?"" should work",0,12,SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/starring>  ?o .    
}""",0,12,1,0,0,0
6,0,¿En qué ciudad esta la fábrica de cerveza Heineken?,composite,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,0,0,0,0,0
7,0,¿Cuándo comenzó la Batalla de Normandía?,should work,0,0,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,,0,0,1,0,0,0
8,0,¿En que ciudad termina la ruta Chilena 68?,should work,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,,0,0,1,0,0,0
11,0.847457627118644,¿De qué murió Abraham Lincoln?,"""¿Dónde muri� Abraham Lincoln?"" should work",0,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Abraham_Lincoln dbo:deathCause ?uri .     
}","""select  ?o    
{
    <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/deathPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}""",0,1,1,0,0,0
14,0,¿Cuántos asientos tiene el estadio del FC Porto?,composite,0,0,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,,0,0,1,0,0,0
15,0,¿Con quién está casada la hija de Robert Kennedy?,composite,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,,0,0,4,0,0,0
16,0,¿Qué libros de Kerouac han sido publicados por Viking Press?,composite,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,,0,0,3,0,0,0
