"lexicalEntry","numberOfGrammarRules","numberOfQuestions","frameType","numberOfQuestions","numberOfQuestions"
"http://localhost:8080#1990_Census-3468","4","59","NPP","Success","-"
"http://localhost:8080#2000_Census-3473","4","118","NPP","Success","-"
"http://localhost:8080#2000_Census-3477","4","177","NPP","Success","-"
"http://localhost:8080#2000_Census-3478","4","236","NPP","Success","-"
"http://localhost:8080#2010_census-4138","4","255","NPP","Success","-"
"http://localhost:8080#2010_census-4140","4","274","NPP","Success","-"
"http://localhost:8080#AVA-3282","4","4991","NPP","Success","-"
"http://localhost:8080#AVA-3288","4","5505","NPP","Success","-"
"http://localhost:8080#Airport-1293","4","594","NPP","Success","-"
"http://localhost:8080#Airport-2530","4","609","NPP","Success","-"
"http://localhost:8080#Airport-7529","4","613","NPP","Failed","binding list is empty"
"http://localhost:8080#American-11414","4","719","NPP","Success","-"
"http://localhost:8080#American-1538","4","734","NPP","Success","-"
"http://localhost:8080#American-1540","4","749","NPP","Success","-"
"http://localhost:8080#American-1541","4","764","NPP","Success","-"
"http://localhost:8080#American-1882","4","779","NPP","Success","-"
"http://localhost:8080#American-1892","4","794","NPP","Success","-"
"http://localhost:8080#American-1893","4","809","NPP","Success","-"
"http://localhost:8080#American-1896","4","824","NPP","Success","-"
"http://localhost:8080#American-1897","4","839","NPP","Success","-"
"http://localhost:8080#American-1898","4","854","NPP","Success","-"
"http://localhost:8080#American-1900","4","869","NPP","Success","-"
"http://localhost:8080#American-3051","4","884","NPP","Success","-"
"http://localhost:8080#American-3278","4","1398","NPP","Success","-"
"http://localhost:8080#American-3283","4","1912","NPP","Success","-"
"http://localhost:8080#American-3284","4","2426","NPP","Success","-"
"http://localhost:8080#American-576","4","2445","NPP","Success","-"
"http://localhost:8080#American-6605","4","2449","NPP","Failed","binding list is empty"
"http://localhost:8080#American-7295","4","2453","NPP","Failed","binding list is empty"
"http://localhost:8080#American-7333","4","2592","NPP","Success","-"
"http://localhost:8080#American-7479","4","2641","NPP","Success","-"
"http://localhost:8080#American-7480","4","2690","NPP","Success","-"
"http://localhost:8080#American-822","4","2705","NPP","Success","-"
"http://localhost:8080#American-823","4","2720","NPP","Success","-"
"http://localhost:8080#American_Viticultural_Area-3281","4","3264","NPP","Success","-"
"http://localhost:8080#American_Viticultural_Area-3287","4","3778","NPP","Success","-"
"http://localhost:8080#American_professional-1880","4","2735","NPP","Success","-"
"http://localhost:8080#American_professional_wrestler-1881","4","2750","NPP","Success","-"
"http://localhost:8080#Area-3280","4","4311","NPP","Success","-"
"http://localhost:8080#Arizona-2526","4","4326","NPP","Success","-"
"http://localhost:8080#Arizona-7667","4","4341","NPP","Success","-"
"http://localhost:8080#Army-623","4","4360","NPP","Success","-"
"http://localhost:8080#Army-624","4","4379","NPP","Success","-"
"http://localhost:8080#Award-6138","4","5543","NPP","Success","-"
"http://localhost:8080#Award_for-6142","4","5562","NPP","Success","-"
"http://localhost:8080#Awards-6147","4","5581","NPP","Success","-"
"http://localhost:8080#Bank-6217","4","5638","NPP","Failed","binding list is empty"
"http://localhost:8080#Big_Hero-45603","4","5725","NPP","Success","-"
"http://localhost:8080#Big_Hero_6-7048","4","5894","NPP","Success","-"
"http://localhost:8080#Bridge-2242","4","6162","NPP","Success","-"
"http://localhost:8080#Bridge-2244","4","6181","NPP","Success","-"
