QALD id,match status,QALD question,QueGG question,,TP,FP,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
2,0,Wie hoch ist der Leuchtturm in Colombo?,,,0,0,SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,,0,0,1,0,0,0
6,0,In welcher Stadt ist die Heinekenbrauerei?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,0,0,0,0,0
14,0,Wieviele Plätze hat das Heimstadium des FC Porto?,,,0,0,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,,0,0,1,0,0,0
15,0,Mit wem ist die Tochter von Robert Kennedy verheiratet?,,,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,,0,0,4,0,0,0
16,0,Welche Bücher von Kerouac wurden von Viking Press verlegt?,,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,,0,0,3,0,0,0
17,0.76,Wie groß ist Amazon Eve?,"""wer ist Amazon Eve s Sohn?""",,0,0,SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/child>  ?o .    
}""",0,0,0,0,0,0
23,0,Wer wurde Eagles genannt?,,,0,0,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'The Tiger'@en . 
}",,0,0,10,0,0,0
26,0.828828828828829,Wer ist der Trainer von Ankaras Eishockeymannschaft?,"""wer ist der Trainer von Kasachische Eishockeymeisterschaft?""",,0,0,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },"""select  ?o    
{
    <http://dbpedia.org/resource/Kazakhstan_Hockey_Championship> <http://dbpedia.org/ontology/coach>  ?o .    
}""",0,0,1,0,0,0
27,0.796610169491525,Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?,"""was ist die Hauptstadt von Französisch-Polynesien?""",composite,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/capital>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}""",0,0,0,0,0,0
33,0.811881188118812,Wieviele Sprachen werden in Turkmenistan gesprochen?,"""in welchen Sprachen sind Turkmenistan gesprochen?""",should work,0,3,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language>  ?o .    
}""",0,3,1,0,0,0
34,0,In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,,0,0,2,0,0,0
38,1,Wo wurde Johann Sebastian Bach geboren?,"""Wo wurde Johann Sebastian Bach geboren?""",,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Johann_Sebastian_Bach> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    
}""",0,0,1,0,0,0
39,0.852941176470588,Wie oft hat Jane Fonda geheiratet?,"""wer hat Jane Fonda hat geheiratet?""",should work,0,3,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?o .    
}""",0,3,1,0,0,0
42,0.928571428571429,Wo ist der Westminster-Palast?,"""Wo ist Westminster-Palast?""",should work,0,0,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/routeStart>  ?o .    
}""",0,0,3,0,0,0
45,0,Was war der letzte Film mit Alec Guinness?,,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ,,0,0,1,0,0,0
51,0,"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat.",,,0,0,SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } ,,0,0,7,0,0,0
52,0,Was ist in Chocolate Chip Cookies drin?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . },,0,0,10,0,0,0
53,0,Gib mir alle Profiskateboarder aus Schweden.,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}",,0,0,2,0,0,0
54,0,Welche Zutaten brauche ich für Möhrenkuchen?,,,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } ,,0,0,5,0,0,0
