id,score,qald question,quegg question,qald sparql,quegg sparql,qald answer,quegg answer
0,0.952380952380952,Wann fand die Schlacht von Gettysburg statt?,"""Wann fand Schlacht von Gettysburg statt?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","select  ?o    
{
    <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date>  ?o .    
}","[[(""1863-07-03""^^xsd:date )]]","[(""1863-07-03""^^xsd:date )]"
1,0.813953488372093,Liste alle Musicals mit Musik von Elton John auf.,"""Liste alle Musiken von Elton John auf""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","select  ?s    
{
   ?s <http://dbpedia.org/ontology/musicBy>  <http://dbpedia.org/resource/Elton_John> .    
}","[[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]]","[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]"
2,0,Wie hoch ist der Leuchtturm in Colombo?,,SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,,"[[(""29.0""^^xsd:double )]]",[]
3,0.784810126582278,Wer war die Frau von US-Präsident Lincoln?,"""wer war die Frau von Abraham Lincoln?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}","select  ?o    
{
    <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/spouse>  ?o .    
}",[[(http://dbpedia.org/resource/Mary_Todd_Lincoln )]],[(http://dbpedia.org/resource/Mary_Todd_Lincoln )]
4,0.935064935064935,Wer moderiert die BBC Wildlife Specials?,"""wer moderieren BBC Wildlife Specials?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter>  ?o .    
}",[[(http://dbpedia.org/resource/David_Attenborough )]],[(http://dbpedia.org/resource/David_Attenborough )]
5,0.985507246376812,Wieviel hat Pulp Fiction gekostet?,"""Wieviel  hat Pulp Fiction gekostet?""",SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget>  ?o .    
}","[[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]]","[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]"
6,0.710526315789474,In welcher Stadt ist die Heinekenbrauerei?,"""in welcher Stadt ist Cher geboren?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}",[[(http://dbpedia.org/resource/Amsterdam )]],[(http://dbpedia.org/resource/El_Centro]
7,0.933333333333333,Wann wurde die Operation Overlord durchgeführt?,"""Wann wurde Operation Overlord durchgef�hrt?""",SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date>  ?o .    
}","[[(""1944-08-25""^^xsd:date )]]","[(""1944-08-25""^^xsd:date )]"
8,0.769230769230769,In welcher Stadt hört die Ruta 68 auf?,"""in welcher Lage h�rte Ruta 68 Chile auf?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd>  ?o .    
}",[[(http://dbpedia.org/resource/Valpara%C3%ADso )]],[(http://dbpedia.org/resource/Valpara%C3%ADso )]
9,1,Wer hat Slack entwickelt?,"""wer hat Slack entwickelt?""",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"select  ?s    
{
   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Slack_(software)> .    
}",[[(http://dbpedia.org/resource/Slack_Technologies)]],[]
10,0.825,Wer war mit Präsident Chirac verheiratet?,"""wer war mit Jacques Chirac verheiratet?""","PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Jacques_Chirac> <http://dbpedia.org/ontology/spouse>  ?o .    
}",[[(http://dbpedia.org/resource/Bernadette_Chirac )]],[(http://dbpedia.org/resource/Bernadette_Chirac )]
11,1,Woran ist Bruce Carver gestorben?,"""woran ist Bruce Carver gestorben?""","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}","select  ?o    
{
    <http://dbpedia.org/resource/Bruce_Carver> <http://dbpedia.org/ontology/deathCause>  ?o .    
}",[[(http://dbpedia.org/resource/Cancer )]],[(http://dbpedia.org/resource/Cancer )]
12,0.83495145631068,Wer malte Christus im Sturm auf dem See von Galilea?,"""wer malen Christus im Sturm auf dem See Genezareth?""","PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist>  ?o .    
}",[[(http://dbpedia.org/resource/Rembrandt )]],[(http://dbpedia.org/resource/Rembrandt )]
